Umbral,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo de reparació total promedio
0.358,29.755,14.445,15.31,320.1110377827147,4003.53111939116,4631.612441585129,32.065075303251945,124.85643902371044
0.358,29.68,14.16,15.52,322.7131300860056,4007.047968484412,4632.225361207084,33.19107499813239,120.72667030850558
0.358,29.11,13.965,15.145,328.32205112026475,4007.176992032196,4637.066806403558,34.61738496842484,115.7562015642492
0.358,28.795,13.765,15.03,325.9837477266235,4005.849424595168,4636.632968059239,34.08722756595036,117.51760734559122
0.358,28.6,13.6,15.0,339.27599159482025,4007.155951127189,4636.28005686839,34.377305394405994,116.5639920044242
0.358,29.015,13.885,15.13,327.4525716349185,4005.893589821796,4637.186070913446,34.26173422872705,116.92033926475966
0.358,28.01,13.475,14.535,348.41953367548655,4008.773673745373,4637.401930378509,35.21893213567551,113.82439587612112
0.358,32.06,15.885,16.175,297.79526393904666,4001.7962193284648,4631.345213494629,31.5453367351047,126.85856717690804
0.358,28.025,13.275,14.75,334.2064975448847,4008.461858365727,4634.66990627593,34.29898505847087,116.86823535834483
0.358,28.155,13.33,14.825,339.11005848057744,4010.356695017206,4636.639119203942,35.488567678947064,113.0041857788551
0.358,27.76,12.96,14.8,348.2954710599193,4008.3155990515097,4638.811413008001,35.51173466910267,112.87298794049008
0.358,27.485,12.69,14.795,355.3510167155221,4010.3761413285583,4640.257005215797,36.66902735713251,109.36685345564528
0.358,26.94,12.19,14.75,366.00429120803165,4005.7785075970787,4637.483544845108,34.31427904463739,116.7379475578141
