Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales
0.358,1,21,13,8,335.2729179204928,3963.9057590199873,4642.419917748628,25.794196946301792,153.67432323138507,51969.22265020473,67559.43064494201
0.358,2,24,13,11,375.5711210036815,4045.9277853800972,4647.162599512652,60.46855566116828,66.90961510725008,52464.55199698389,69704.13839309938
0.358,3,33,13,20,326.1765013939148,3981.705000958741,4607.888190782499,23.36587981222308,170.4068082587605,51836.92685511998,67287.85731548825
0.358,4,25,13,12,312.41845689804705,4043.8351599956727,4665.632247396182,80.02429622706201,50.532592608145414,53070.491109675335,69470.52437415438
0.358,5,31,14,17,353.7270382810229,3972.4358563407327,4613.420006758041,22.81119495050182,174.1441369012255,52546.73149503737,67544.57428267939
0.358,6,27,13,14,292.48349183080757,4015.227652617258,4635.206139211062,36.64658766255543,109.56620817167972,52233.06861621681,67767.13744788588
0.358,7,25,13,12,263.5910399932512,4040.4389331985717,4647.125068322332,55.77943312763917,72.43599847909714,52112.09528197967,68198.72485875827
0.358,8,23,14,9,315.2832080825151,4000.6436041593247,4637.888134102902,32.935711328412054,121.46826173777404,52587.95359649333,68815.37490079297
0.358,9,26,14,12,399.71419559580045,4024.094476666063,4653.509086167693,48.83820969767187,82.39643716624389,52209.265133421104,67961.39147973077
0.358,10,26,13,13,388.86526279847334,3947.5751840454254,4650.863789604793,24.43395708256309,161.5610263497823,51748.09504327667,66024.77885608634
